model,multiclass_logloss,class4_accuracy,binary_logloss,class2_accuracy,perplexity
ExtraTrees,0.7999455656453983,0.6466666666666666,0.34543862616340026,0.8622222222222222,1.4126093912371698
ExtraTrees_no_fe,0.8026144141608295,0.6577777777777778,0.34694618518331144,0.8711111111111111,1.4147405893163472
XGBoost,0.9266884927585958,0.6577777777777778,0.37414533541678413,0.86,1.4537484162362535
XGBoost_no_fe,0.9692650510491844,0.6422222222222222,0.3803055465505181,0.8555555555555555,1.4627314537118448
LightGBM,1.7186418052232668,0.6466666666666666,0.6605630827830657,0.86,1.9358820894366964
LightGBM_no_fe,1.940194976301598,0.6244444444444445,0.7606081164016013,0.8422222222222222,2.1395769367910287
