model,multiclass_logloss,class4_accuracy,binary_logloss,class2_accuracy,perplexity
ExtraTrees,0.7999455656453983,0.6466666666666666,0.34543862616340026,0.8622222222222222,1.4126093912371698
XGBoost,0.9266884927585958,0.6577777777777778,0.37414533541678413,0.86,1.4537484162362535
LightGBM,1.7186418052232668,0.6466666666666666,0.6605630827830657,0.86,1.9358820894366964
LogisticRegression,1.3313079571206778,0.6488888888888888,0.6526748195797115,0.86,1.920671413764387
RandomForest,0.7880696712222295,0.6533333333333333,0.3514105832498544,0.8488888888888889,1.4210706739631196
