model,multiclass_logloss,class4_accuracy,binary_logloss,class2_accuracy,perplexity
ExtraTrees,0.7749648102320494,0.66,0.33811032405357294,0.8666666666666667,1.402295201762653
XGBoost,0.7853929648803682,0.6844444444444444,0.319341736698166,0.8666666666666667,1.3762215499633133
RandomForest,0.7802197015501051,0.6333333333333333,0.34424362588574486,0.86,1.410922330842007
